Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2534636872,2581564246,2649720670,2691620112,2646927374,2700558659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20001615789,20561054090,20484873230,19907111419,19362642267,20191764940,19362969582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.28053E+11,1.3671E+11,1.45712E+11,1.16194E+11,1.01124E+11,1.22124E+11,1.05751E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12319784701,12776277649,13228244336,11386927679,11861353752,13025064967,15102500898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3164615187,3281585236,3350736367,2811489409,2877311947,3013387424,3236543909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.78743E+12,2.86839E+12,2.90949E+12,2.55842E+12,2.51103E+12,2.58703E+12,2.77488E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.77701E+11,4.14179E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.57531E+11,6.42696E+11,5.19872E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10619320049,11121465767,11609512940,10553337673,10546135160,11527458566,12433089919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,644000000,641000000,642000000,661000000,652000000,602000000,636000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1199948148,1181448148,1249733333,1336692593,1436585185,1467977778,1610574074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.54615E+12,1.57618E+12,1.46748E+12,1.35169E+12,1.20885E+12,1.33014E+12,1.4339E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.09425E+11,4.30069E+11,4.41996E+11,3.81818E+11,3.95228E+11,4.17283E+11,4.55286E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
